ID,Nombre,Edad,Grado,Fecha de Ingreso,Calificación Matemáticas,Calificación Ciencias,Calificación Historia,Asistencia (%),Email
109,Marc Austin,17.0,,,-5.0,90.0,,,marie14@gmail.com
110,,,6.0,1987-01-07,-5.0,63.0,-5.0,51.0,vhudson@yahoo.com
111,Ryan Davenport,-1.0,,1986/04/07,-5.0,,100.0,,
112,Andrew Morgan,9.0,7.0,2004-08-25,,-5.0,90.0,66.0,
113,Whitney Wallace,-1.0,,1997/02/22,60.0,,74.0,,
114,,14.0,,,-5.0,-5.0,-5.0,79.0,ijames@vasquez.com
115,,10.0,8.0,,,98.0,-5.0,,
116,Elizabeth Young,,5.0,2019-13-25,75.0,,,60.0,scottbowers@hotmail.com
117,Zachary Hicks,,7.0,2019-13-25,72.0,85.0,88.0,93.0,andrewjohnson@bush.com
118,,-1.0,6.0,1978/07/02,,,-5.0,,brandi00@lopez-cruz.org
119,Heather Pace,6.0,7.0,2020/12/23,,,,,
120,,10.0,,2019-13-25,,52.0,,76.0,
121,Lucas Williams,9.0,6.0,2019-13-25,-5.0,85.0,,,kelly60@neal-gordon.info
122,John Thomas,,8.0,2003-07-25,-5.0,,,85.0,lindsey24@hotmail.com
123,,15.0,6.0,,,50.0,-5.0,,jason67@williams.org
124,,-1.0,5.0,1992-08-01,,,-5.0,,sanchezjustin@myers.info
125,,12.0,7.0,1976/05/03,83.0,-5.0,-5.0,,
126,,9.0,,1995/11/27,87.0,,-5.0,,mcbridekevin@yahoo.com
127,,16.0,,2019-13-25,60.0,-5.0,75.0,80.0,
128,Priscilla Powers,,,,-5.0,88.0,-5.0,80.0,jreese@reynolds-wheeler.com
129,Steven Hernandez,,8.0,1977-05-10,-5.0,-5.0,-5.0,,
130,Tracy Miller,,8.0,,,,62.0,97.0,
131,,-1.0,8.0,2019-13-25,72.0,-5.0,85.0,,traceylewis@carter.com
132,David Cunningham,-1.0,7.0,2010/10/11,-5.0,,,,jperry@larsen.net
133,Robert Williams,-1.0,8.0,,62.0,-5.0,-5.0,,
134,Travis Wilson,-1.0,7.0,,,-5.0,70.0,58.0,moniquerussell@gmail.com
135,,-1.0,,2000/07/24,53.0,-5.0,,,fle@jimenez-sanders.com
136,,17.0,5.0,2019-13-25,-5.0,,89.0,79.0,murphyjeanne@thomas.org
137,Eric Turner,10.0,8.0,2019-13-25,-5.0,56.0,-5.0,59.0,
138,,14.0,,,,75.0,-5.0,53.0,kelseycantrell@mccullough.info
139,Seth Lee,14.0,7.0,1989/07/26,,,,,bakergregory@butler-patton.org
140,Erin Hernandez,,6.0,2011/10/20,97.0,-5.0,-5.0,,eduardovargas@gardner-martinez.org
141,Kylie Lamb,-1.0,7.0,2019-13-25,67.0,,92.0,65.0,erikacole@knapp-graham.biz
142,Steven Moore,,,,72.0,-5.0,,67.0,
143,,,,,-5.0,,,81.0,mary71@hotmail.com
144,,-1.0,7.0,,82.0,82.0,-5.0,89.0,james85@hotmail.com
145,Sarah Rogers,9.0,,2023/06/01,65.0,,78.0,97.0,katherine23@hotmail.com
146,Ian Jenkins,,7.0,2006/04/30,-5.0,100.0,,59.0,
147,Ralph Davis,13.0,8.0,1998/01/05,-5.0,81.0,-5.0,91.0,matthew24@lee-foster.com
148,,7.0,8.0,2010/10/09,-5.0,,-5.0,85.0,
149,Carrie Grant,,6.0,,,-5.0,-5.0,,katie67@smith.com
150,,-1.0,8.0,,,-5.0,-5.0,,
151,Eric Herring,,5.0,2019-13-25,64.0,,77.0,,eallen@mccormick.com
152,,-1.0,,2019-13-25,67.0,,,,
153,,-1.0,6.0,1997-12-20,,52.0,-5.0,74.0,
154,,-1.0,8.0,2019-13-25,-5.0,,,54.0,michaellee@solis.com
155,Martha Miller,15.0,8.0,2012-06-22,,-5.0,62.0,66.0,
156,,-1.0,8.0,2019-13-25,83.0,75.0,-5.0,90.0,xmarquez@rodriguez.com
157,Tiffany Henry,11.0,8.0,2019-13-25,-5.0,66.0,-5.0,,
158,John Collins,,5.0,2004-07-13,70.0,-5.0,-5.0,,tina38@cook.biz
159,,15.0,,1992-11-11,-5.0,-5.0,-5.0,83.0,wrightwilliam@stevenson.com
160,,,5.0,2004/12/28,-5.0,-5.0,54.0,65.0,
161,,,,2010/10/23,90.0,91.0,,68.0,stephanie98@hotmail.com
162,,,8.0,2021/04/17,-5.0,70.0,,77.0,
163,David Rodriguez,6.0,8.0,2014/10/02,51.0,-5.0,,83.0,aviladeborah@delgado.com
164,Larry Stewart,,6.0,,-5.0,,76.0,94.0,
165,,8.0,5.0,2019-13-25,,65.0,-5.0,,
166,Kathryn Gordon,7.0,8.0,2019-13-25,-5.0,54.0,-5.0,52.0,
167,,,6.0,2019-13-25,77.0,-5.0,,,
168,Bruce Cox,6.0,5.0,2019-13-25,57.0,,81.0,66.0,
169,,-1.0,,1985/06/23,-5.0,81.0,60.0,82.0,williamsongeorge@hotmail.com
170,,-1.0,5.0,,63.0,,,,
171,,-1.0,5.0,2019-13-25,-5.0,79.0,86.0,88.0,blacklindsey@yahoo.com
172,Thomas Parrish,-1.0,,2010-06-07,,,83.0,94.0,audreymoore@hotmail.com
173,Derrick Martinez,,5.0,,,86.0,,,
174,,,6.0,2003/11/10,-5.0,-5.0,91.0,76.0,bethflores@mitchell-black.com
175,,-1.0,8.0,,,,96.0,72.0,
176,,-1.0,,2008/11/23,,84.0,89.0,85.0,michael15@gmail.com
177,,12.0,5.0,,-5.0,,78.0,96.0,ethan68@sherman.com
178,Krista French,,8.0,1992-02-25,99.0,,-5.0,,
179,,-1.0,8.0,2019-13-25,,60.0,-5.0,,
180,Jeremy Smith,16.0,8.0,2008/07/27,,-5.0,50.0,,caroline12@garcia-myers.com
181,Christopher Flores,16.0,,1982-07-31,91.0,,,,xchurch@hotmail.com
182,,,,,70.0,,,66.0,
183,Sheila Cunningham,,7.0,,,-5.0,86.0,84.0,shaneroy@clay.info
184,,-1.0,,1986/08/09,,-5.0,,,georgehammond@yahoo.com
185,Justin Olsen,10.0,5.0,1988-11-22,-5.0,58.0,-5.0,98.0,nicholasgross@fuller.com
186,,,6.0,2015-09-07,74.0,-5.0,,,paulajohnston@tucker.com
187,,-1.0,,1981/09/01,,68.0,,62.0,mercadojustin@garcia.com
188,,-1.0,8.0,2017-08-09,,-5.0,,,
189,,-1.0,,,,,-5.0,92.0,brentadams@allen.com
190,Heather Lopez,17.0,5.0,,-5.0,-5.0,-5.0,,
191,Maria Vasquez,7.0,7.0,,93.0,-5.0,,93.0,
192,Lawrence Berry,-1.0,8.0,2019-13-25,,,-5.0,87.0,narmstrong@miller.com
193,Shawn Ortiz,-1.0,7.0,1982/05/19,-5.0,,-5.0,84.0,adrian38@williams.org
194,,5.0,7.0,2024/07/01,-5.0,-5.0,59.0,55.0,
195,Paul Cuevas,15.0,5.0,2019-13-25,94.0,-5.0,,,
196,,18.0,6.0,1992-02-17,,-5.0,62.0,,
197,,-1.0,7.0,2019-13-25,,-5.0,64.0,94.0,anthonyadams@yahoo.com
198,Mark Hawkins,-1.0,,2019-12-09,-5.0,-5.0,,90.0,
199,,6.0,6.0,2004-10-17,91.0,-5.0,98.0,56.0,
200,Catherine Martinez,7.0,7.0,,,-5.0,-5.0,,brittany02@deleon.net
201,,-1.0,7.0,2019-13-25,,,,71.0,
202,Brittany Phillips DDS,-1.0,7.0,2022/08/20,,-5.0,,,gardnerjonathan@carter-fuentes.org
203,Megan Montoya,-1.0,6.0,2007/05/20,100.0,-5.0,-5.0,,
204,,,5.0,,79.0,-5.0,55.0,,
205,Amanda Norris,-1.0,5.0,1985/04/27,-5.0,,-5.0,75.0,sarahrosales@gmail.com
206,Jessica Cain,13.0,5.0,2019-13-25,-5.0,,70.0,51.0,
207,Amber Mckinney,16.0,,1981/09/26,-5.0,,,69.0,morganann@gmail.com
208,Jill Roberts,11.0,8.0,1985/04/23,-5.0,74.0,-5.0,,
209,Samantha White,7.0,6.0,1995-02-06,,-5.0,92.0,53.0,scott56@gmail.com
210,,,,2021-05-29,-5.0,91.0,,63.0,
211,,13.0,8.0,2022-09-30,,91.0,,67.0,
212,,15.0,8.0,2024/08/20,-5.0,,,79.0,kbrown@gmail.com
213,Wayne Day,,7.0,,-5.0,-5.0,91.0,89.0,
214,,9.0,8.0,1981-11-20,-5.0,,,57.0,zcarroll@yahoo.com
215,,,5.0,1983-05-02,83.0,62.0,-5.0,,arthurmorales@lopez-gregory.com
216,Darrell Butler,9.0,5.0,2009/12/10,,,86.0,75.0,swhite@ross.net
217,Mark Smith,-1.0,,2019-13-25,70.0,,,81.0,jwilson@mccarthy.com
218,Kristen Hunter,-1.0,5.0,1972-08-06,,,66.0,73.0,jasonpacheco@yahoo.com
219,Amy Juarez,,7.0,2021-05-24,,-5.0,,61.0,paula16@hotmail.com
220,,15.0,5.0,1984/12/02,-5.0,-5.0,-5.0,70.0,
221,,-1.0,8.0,,82.0,-5.0,,,brent51@manning-hatfield.com
222,Elijah Martinez,,8.0,,57.0,80.0,90.0,99.0,brittney11@hotmail.com
223,Chad Martinez,,8.0,1987-09-18,,-5.0,,,faith87@hotmail.com
224,,,,,,-5.0,-5.0,,
225,,-1.0,8.0,,-5.0,85.0,,76.0,
226,Kevin Larson,9.0,,1978-07-15,89.0,-5.0,87.0,96.0,
227,Jessica Kaiser,-1.0,6.0,,96.0,92.0,-5.0,83.0,
228,Hailey Smith,18.0,8.0,2019-13-25,-5.0,,,66.0,alexandermoore@yahoo.com
229,Matthew Martinez,13.0,5.0,2019-13-25,,-5.0,,,
230,,,6.0,,97.0,,,,
231,Patrick Lopez,13.0,7.0,2019-13-25,91.0,,-5.0,,bonniehayes@gmail.com
232,,-1.0,,,97.0,55.0,-5.0,,jennifer38@ball.org
233,Vickie Lamb,,8.0,2011/11/01,,94.0,71.0,96.0,katelynjuarez@hotmail.com
234,,,7.0,2019-13-25,-5.0,,,,joshua92@nichols.com
235,Kristy Adams,,6.0,,,,,98.0,gary92@davenport.com
236,Christopher Ruiz,-1.0,7.0,1975/08/27,,,57.0,,alan90@nunez-williams.com
237,Elizabeth Anderson,-1.0,6.0,,-5.0,,,53.0,omartin@johnson-johnson.com
238,Mark Edwards,7.0,,,,-5.0,100.0,68.0,
239,Matthew Price,14.0,6.0,,,,-5.0,97.0,laurenhamilton@hotmail.com
240,,11.0,6.0,,69.0,,72.0,,
241,Casey Lynch,,5.0,2019-13-25,100.0,62.0,,64.0,holly37@hotmail.com
242,,-1.0,,,70.0,86.0,60.0,,
243,Jimmy Fitzgerald,6.0,5.0,,75.0,,98.0,83.0,henryjeremy@navarro.com
244,,-1.0,8.0,1975-04-21,92.0,,77.0,54.0,
245,,7.0,8.0,2013-06-18,,-5.0,82.0,,amanda62@gmail.com
246,,10.0,8.0,,,-5.0,-5.0,,
247,Alexandra Rogers,,6.0,2019-13-25,,,,91.0,mcguirejames@smith.com
248,,6.0,6.0,,,,-5.0,,
249,,-1.0,,2019-13-25,92.0,75.0,90.0,,obrooks@gmail.com
250,,-1.0,7.0,1990-01-11,59.0,64.0,-5.0,71.0,monica15@harmon.info
251,,,5.0,1970-06-07,-5.0,85.0,-5.0,,
252,Dalton Williams,8.0,8.0,2019-13-25,-5.0,-5.0,76.0,99.0,oporter@stone-brown.com
253,,,6.0,1996-09-03,74.0,,,,andrealeonard@rodriguez-newman.org
254,,-1.0,7.0,,,-5.0,-5.0,95.0,jscott@delgado.org
255,,-1.0,8.0,1985-02-17,70.0,,-5.0,,bellelizabeth@yahoo.com
256,,-1.0,8.0,2019-13-25,-5.0,74.0,65.0,,
257,,-1.0,6.0,,96.0,89.0,,,monica66@hotmail.com
258,,,7.0,,96.0,-5.0,65.0,,
259,Andrew Clements,-1.0,8.0,1972-01-26,,,,55.0,qroman@hotmail.com
260,,,,2019-13-25,,50.0,-5.0,91.0,fwhite@castaneda-lopez.com
261,Michelle Graham,-1.0,7.0,2019-13-25,-5.0,-5.0,-5.0,,ubrown@gmail.com
262,,-1.0,6.0,,-5.0,-5.0,62.0,79.0,mcfarlandmichael@gmail.com
263,,13.0,5.0,2019-13-25,-5.0,,64.0,,
264,,,5.0,2004-01-29,-5.0,-5.0,,84.0,
265,,-1.0,7.0,,,98.0,,91.0,seanmiller@gmail.com
266,Ashley Smith,,7.0,2019-13-25,97.0,,75.0,89.0,mmorris@wright.com
267,,8.0,5.0,,-5.0,-5.0,,88.0,jason42@yahoo.com
268,Kaitlyn Parker,-1.0,8.0,2019-13-25,,-5.0,,100.0,
269,Nancy Edwards,-1.0,5.0,2019-13-25,81.0,-5.0,,,vvasquez@carter.com
270,,-1.0,5.0,,90.0,,-5.0,75.0,calderonmargaret@edwards.info
271,Vanessa Pruitt,,8.0,1975-05-04,-5.0,,63.0,86.0,
272,,-1.0,7.0,1998-12-09,-5.0,75.0,,65.0,justin00@yahoo.com
273,David Kim,5.0,7.0,2019-13-25,89.0,-5.0,62.0,,
274,,,7.0,,-5.0,,99.0,93.0,
275,Carrie Chang,,,2002-02-20,-5.0,-5.0,85.0,,
276,Madison Prince,-1.0,7.0,,61.0,89.0,79.0,,
277,Gerald Mccann,-1.0,,1972/05/17,,-5.0,89.0,,
278,Jamie Olsen,-1.0,7.0,1984-07-25,83.0,86.0,,,daniel75@gallegos.org
279,,-1.0,8.0,1990-11-08,98.0,,,,
280,Eric Griffin,5.0,7.0,,-5.0,-5.0,66.0,,nashchristopher@coleman-lane.org
281,Anna Bennett,14.0,8.0,,68.0,63.0,-5.0,72.0,
282,Rebekah Norton,16.0,6.0,2019-13-25,-5.0,-5.0,95.0,,
283,,-1.0,6.0,2019-13-25,,-5.0,-5.0,,icummings@phillips.net
284,Jerome Moore,17.0,8.0,2019-13-25,-5.0,-5.0,,97.0,
285,,-1.0,5.0,1981-09-25,,,,,
286,,9.0,5.0,1992-04-16,-5.0,-5.0,,,carrillotara@levine.net
287,Kelly Murphy,8.0,8.0,2019-13-25,72.0,,-5.0,,
288,,-1.0,5.0,2019-13-25,58.0,-5.0,-5.0,,
289,Katrina Smith,-1.0,8.0,1972-12-23,90.0,-5.0,74.0,66.0,
290,,,8.0,2011-11-05,-5.0,,54.0,,jose02@hotmail.com
291,,,6.0,2019/07/01,-5.0,-5.0,-5.0,100.0,oalvarez@yahoo.com
292,,-1.0,5.0,2001-10-20,,,-5.0,,
293,Christine Perez,5.0,6.0,2019-13-25,97.0,-5.0,,,
294,Carla Cooper,11.0,5.0,,,70.0,,,
295,,-1.0,8.0,2019-13-25,52.0,,,,
296,,-1.0,6.0,1991-11-02,65.0,,98.0,76.0,
297,,-1.0,7.0,2019-13-25,,-5.0,88.0,51.0,
298,James Kane,,,1982/04/30,59.0,89.0,-5.0,96.0,youngchristian@hotmail.com
299,,-1.0,6.0,1987-05-31,,,,,
300,,15.0,5.0,2019-13-25,95.0,,-5.0,94.0,hbaker@yahoo.com
301,Danielle Zuniga,9.0,7.0,2020-01-03,-5.0,-5.0,-5.0,77.0,andersonsamantha@velez.com
302,Jessica Johnson,,5.0,1970/02/06,91.0,-5.0,92.0,69.0,pittmanmatthew@hotmail.com
303,Luke Gentry,9.0,5.0,2019-13-25,86.0,-5.0,97.0,,
304,Joshua Guerrero,,5.0,2013/06/02,87.0,-5.0,85.0,,djohnson@yahoo.com
305,Zachary Torres,-1.0,,,,-5.0,,51.0,jennifer47@fritz-washington.net
306,Robert Sanchez,12.0,,2019-13-25,-5.0,,-5.0,97.0,
307,Laura Duran,,8.0,,-5.0,-5.0,,,
308,,,5.0,2019-13-25,74.0,,,71.0,danielle04@gmail.com
309,Justin Blair,8.0,7.0,2019/10/11,,80.0,,90.0,michael12@hotmail.com
310,Brittany Wilson,6.0,,2019-13-25,82.0,-5.0,,72.0,
311,,,5.0,2019-13-25,,-5.0,-5.0,77.0,sheripitts@foster-davis.info
312,,9.0,,,-5.0,,63.0,,thomas79@wilson.biz
313,Stephen Pena,,,,-5.0,,,,hollyfoster@howard.org
314,William Moore,-1.0,5.0,1973/03/04,-5.0,-5.0,-5.0,93.0,
315,William Griffin,-1.0,7.0,2019-13-25,97.0,-5.0,-5.0,92.0,
316,Michelle Tucker,,7.0,,,,64.0,64.0,andreamiles@hotmail.com
317,,-1.0,,,-5.0,,-5.0,,dereksavage@pope.com
318,Erik Sharp,,6.0,1994/07/07,52.0,,,,
319,,5.0,6.0,2019-13-25,,-5.0,70.0,,
320,Daniel Grant,,5.0,2019-13-25,71.0,-5.0,-5.0,87.0,
321,Charles Chapman,-1.0,5.0,,,,65.0,,margaretwhite@robinson.info
322,,,6.0,2019-13-25,,,-5.0,,
323,Carol Weber,,,,,,51.0,58.0,
324,Eric Hall,7.0,5.0,2019-13-25,-5.0,88.0,-5.0,,
325,,,5.0,2019-13-25,94.0,69.0,,,kimberlymaxwell@yahoo.com
326,,,7.0,2012/01/01,-5.0,-5.0,-5.0,,
327,Janice Mccoy,,5.0,2019-13-25,60.0,,,56.0,
328,,17.0,8.0,1990-04-30,-5.0,-5.0,-5.0,,
329,,14.0,5.0,1984-08-18,,56.0,,,mario16@hotmail.com
330,Natalie Gray,9.0,8.0,,75.0,99.0,-5.0,85.0,
331,,-1.0,7.0,2024-04-24,,86.0,77.0,,morgandawn@gmail.com
332,,13.0,7.0,2019-13-25,56.0,66.0,-5.0,56.0,
333,,,8.0,2004/09/17,-5.0,,51.0,52.0,
334,,,8.0,2019-13-25,-5.0,-5.0,,100.0,
335,,9.0,8.0,2019-13-25,-5.0,57.0,71.0,86.0,
336,,,5.0,2011/09/18,,50.0,-5.0,,
337,Alicia Fuller,8.0,8.0,2015/06/19,65.0,,-5.0,89.0,amanda35@hotmail.com
338,,-1.0,5.0,2019-13-25,-5.0,,52.0,,
339,Jamie Torres,,5.0,2019-13-25,-5.0,,,79.0,
340,Jacob Jones,8.0,5.0,,,,,83.0,lichristine@mathews.com
341,Vernon Nelson,5.0,8.0,2019-13-25,-5.0,,-5.0,,
342,,-1.0,6.0,2019-13-25,-5.0,,,92.0,mendezmaria@hinton.com
343,Melissa Robinson,-1.0,7.0,2019-13-25,88.0,72.0,62.0,,
344,,8.0,5.0,,100.0,-5.0,,99.0,
345,,17.0,6.0,1973-10-13,-5.0,-5.0,,,michellewalls@hotmail.com
346,Erica Cunningham,14.0,5.0,,-5.0,-5.0,,,elandry@yahoo.com
347,,,8.0,,,,,89.0,leahschultz@gmail.com
348,,16.0,8.0,2001/04/18,71.0,97.0,,62.0,ogordon@hotmail.com
349,,,6.0,1987-01-02,70.0,,63.0,78.0,smithcassandra@simmons.net
350,,,7.0,,,-5.0,-5.0,,ejuarez@taylor.net
351,Spencer Ortiz,17.0,6.0,,90.0,,86.0,83.0,
352,,,5.0,2019-13-25,,-5.0,98.0,92.0,sheryl12@hotmail.com
353,,,,1996/07/19,-5.0,-5.0,,,
354,,13.0,,2007-12-13,77.0,,99.0,,
355,,15.0,5.0,1973/06/01,-5.0,-5.0,-5.0,82.0,reedlee@gmail.com
356,Stephanie Huang,-1.0,6.0,1973-03-25,71.0,,,,
